PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,Season,Team_Wins,Draft_Pick,Season_End_Year,winner
101223,Aaron Miles,Aaron,1610612744,GSW,23.0,19,13,6,0.684,6.2,0.3,0.9,0.333,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.7,0.7,1.3,0.6,0.2,0.1,0.2,0.7,0.4,0.8,-0.2,3.8,0,0,3.4,60,46,68,11,66,79,78,74,53,61,53,70,75,1,81,61,71,17,47,53,57,57,68,71,81,24,69,23,2,71,1,2005-06,,,2006,0
101187,Alan Anderson,Alan,1610612766,CHA,23.0,36,7,29,0.194,15.7,2.1,5.0,0.414,0.7,1.6,0.414,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.9,0.3,0.1,0.5,1.3,1.1,5.8,0.2,9.8,0,0,10.1,39,64,27,80,26,24,21,45,12,15,7,30,36,21,30,38,37,26,27,41,42,15,44,26,23,12,29,23,2,28,1,2005-06,,,2006,0
101165,Alex Acker,Alex,1610612765,DET,23.0,5,3,2,0.6,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.8,0.2,0.0,0.4,0.8,0.2,1.8,-6.6,4.0,0,0,4.2,78,76,76,20,62,58,36,78,29,25,44,77,78,77,70,59,64,29,32,56,63,22,65,79,64,84,68,23,2,63,1,2005-06,,,2006,0
2637,Alex Scales,Alex,1610612759,SAS,27.0,1,1,0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,85,80,83,1,85,83,84,83,53,61,53,77,78,77,81,82,83,79,82,78,63,78,83,82,83,18,84,23,2,84,1,2005-06,,,2006,0
101161,Amir Johnson,Amir,1610612765,DET,19.0,3,1,2,0.333,12.9,2.3,3.3,0.7,0.7,1.0,0.667,1.3,1.3,1.0,1.0,0.3,1.3,1.0,1.3,0.0,0.7,0.0,2.3,0.7,6.7,-7.3,10.4,0,0,11.0,80,80,76,62,33,20,33,3,12,25,1,17,25,1,15,77,54,22,14,78,7,78,13,46,19,85,28,23,2,26,1,2005-06,,,2006,0
101154,Andray Blatche,Andray,1610612764,WAS,19.0,29,16,13,0.552,6.1,0.9,2.3,0.388,0.1,0.4,0.231,0.3,0.4,0.833,0.4,0.9,1.3,0.3,0.4,0.2,0.2,0.2,1.2,0.3,2.2,-0.3,5.2,0,0,4.8,43,37,49,25,69,55,52,65,41,40,38,61,69,16,46,56,55,55,63,59,24,52,50,72,55,28,58,23,2,58,1,2005-06,,,2006,0
101261,Andre Owens,Andre,1610612762,UTA,25.0,23,8,15,0.348,9.1,1.2,3.2,0.365,0.1,0.7,0.188,0.5,0.8,0.667,0.5,0.4,0.9,0.3,0.6,0.2,0.0,0.6,1.1,0.7,3.0,-1.4,4.7,0,0,4.8,50,62,42,60,45,42,35,69,36,30,46,49,49,50,36,73,66,53,49,51,63,11,54,45,42,57,62,23,2,59,1,2005-06,,,2006,0
101106,Andrew Bogut,Andrew,1610612749,MIL,21.0,82,40,42,0.488,28.6,3.9,7.4,0.533,0.0,0.0,0.0,1.5,2.4,0.629,2.3,4.7,7.0,2.3,1.5,0.6,0.8,0.7,3.2,2.8,9.4,0.9,24.0,12,0,21.5,1,3,17,39,6,6,10,10,53,57,53,13,9,57,1,1,1,9,8,16,1,6,1,3,7,5,4,3,2,4,1,2005-06,,,2006,0
101115,Andrew Bynum,Andrew,1610612747,LAL,18.0,46,29,17,0.63,7.4,0.7,1.8,0.402,0.0,0.0,0.0,0.2,0.6,0.296,0.7,1.0,1.7,0.2,0.4,0.1,0.5,0.3,1.2,0.5,1.6,-1.0,5.3,0,0,4.7,33,15,36,14,59,67,66,53,53,61,53,73,58,75,25,48,43,68,66,73,9,25,51,55,71,46,55,23,2,61,1,2005-06,,,2006,0
101219,Anthony Grundy,Anthony,1610612737,ATL,27.0,12,5,7,0.417,9.0,1.6,3.2,0.5,0.4,1.3,0.333,0.8,1.2,0.643,0.1,1.3,1.4,0.8,0.8,0.6,0.0,0.1,1.2,1.0,4.3,2.4,8.2,0,0,8.1,72,72,65,50,47,30,37,14,17,19,18,35,33,55,80,37,52,32,34,18,63,74,52,29,30,1,34,23,2,33,1,2005-06,,,2006,0
101194,Anthony Roberson,Anthony,1610612763,MEM,23.0,16,11,5,0.688,5.5,0.9,1.9,0.452,0.3,0.6,0.5,0.1,0.1,1.0,0.0,0.4,0.4,0.3,0.2,0.1,0.0,0.1,0.4,0.3,2.2,-0.1,3.1,0,0,3.3,65,53,72,10,71,57,65,28,24,35,3,75,77,1,81,74,81,59,77,76,63,68,80,78,56,22,74,23,2,72,1,2005-06,,,2006,0
101120,Antoine Wright,Antoine,1610612751,NJN,22.0,39,24,15,0.615,9.5,0.7,2.1,0.358,0.0,0.4,0.067,0.3,0.6,0.5,0.2,0.6,0.8,0.3,0.5,0.1,0.1,0.2,1.1,0.5,1.8,-1.9,3.2,0,0,3.3,36,26,42,16,42,64,59,71,52,41,52,64,60,68,69,68,70,60,51,72,52,50,56,61,66,70,73,23,2,73,1,2005-06,,,2006,0
101178,Arvydas Macijauskas,Arvydas,1610612740,NOK,26.0,19,5,14,0.263,7.1,0.7,2.2,0.341,0.2,0.6,0.25,0.7,0.8,0.867,0.2,0.4,0.5,0.3,0.4,0.4,0.0,0.2,0.5,0.6,2.3,-0.4,4.0,0,0,4.0,60,72,45,77,60,65,57,72,33,34,34,39,48,12,76,75,76,62,62,33,63,47,73,50,51,29,67,23,2,65,1,2005-06,,,2006,0
101238,Boniface Ndong,Boniface,1610612746,LAC,28.0,23,14,9,0.609,6.6,1.0,2.3,0.415,0.0,0.0,0.0,0.3,0.4,0.667,0.7,1.0,1.6,0.3,0.3,0.1,0.2,0.1,1.0,0.4,2.2,-1.9,5.2,0,0,4.7,50,40,58,17,65,53,53,42,53,56,53,66,71,50,29,54,46,61,72,73,28,67,58,64,57,68,57,23,2,60,1,2005-06,,,2006,0
101152,Bracey Wright,Bracey,1610612750,MIN,21.0,7,1,6,0.143,19.3,3.0,7.3,0.412,0.9,2.4,0.353,2.0,2.3,0.875,0.4,2.1,2.6,0.7,1.1,0.1,0.0,0.4,1.1,1.6,8.9,-1.4,12.3,0,0,13.3,76,80,68,83,18,12,11,46,9,9,16,7,10,11,44,17,18,36,19,65,63,21,53,15,9,59,23,23,2,16,1,2005-06,,,2006,0
101138,Brandon Bass,Brandon,1610612740,NOK,21.0,29,14,15,0.483,9.3,1.0,2.4,0.4,0.0,0.0,0.0,0.4,0.7,0.632,0.6,1.7,2.3,0.1,0.4,0.1,0.2,0.3,0.6,0.7,2.3,-1.7,6.0,0,0,5.5,43,40,42,41,43,52,50,54,53,61,53,55,55,56,33,23,21,77,65,71,24,32,70,49,50,67,49,23,2,49,1,2005-06,,,2006,0
101139,CJ Miles,CJ,1610612762,UTA,19.0,23,7,16,0.304,8.8,1.2,3.3,0.368,0.2,0.9,0.25,0.8,1.0,0.75,0.8,0.9,1.7,0.7,0.4,0.3,0.1,0.3,0.9,0.8,3.4,0.0,7.2,0,0,6.8,50,64,39,72,48,41,34,68,27,29,34,33,40,34,21,57,45,37,64,42,49,36,64,42,38,19,38,23,2,39,1,2005-06,,,2006,0
